trade_date,ggt_ss,ggt_sz,hgt,sgt,north_money,south_money
20260115,28383.82,23068.98,151044.44,204433.55,355477.99,51452.81
20260116,28393.89,23059.86,166031.49,200541.01,366572.5,51453.74
20260119,28424.3,23052.36,147608.62,176161.47,323770.09,51476.66
20260120,28458.74,23054.54,158832.38,184935.74,343768.12,51513.28
20260121,28536.64,23115.95,154231.36,166984.02,321215.38,51652.58
20260122,28564.39,23140.59,155536.95,175540.19,331077.14,51704.98
20260123,28558.79,23130.18,172236.59,200225.22,372461.81,51688.97
20260126,28556.92,23123.8,190671.53,213444.9,404116.43,51680.72
20260127,28543.18,23131.19,179292.86,198316.23,377609.09,51674.37
20260128,28495.46,23144.64,185688.97,190076.84,375765.81,51640.1
20260129,28519.19,23164.64,195274.7,201949.48,397224.18,51683.83
20260130,28539.58,23176.47,186341.66,204492.03,390833.69,51716.05
20260202,28566.96,23168.16,173774.11,184536.31,358310.42,51735.12
20260203,28584.29,23160.36,160197.33,181537.82,341735.15,51744.64
20260204,28658.22,23220.15,153367.8,169536.64,322904.44,51878.37
20260205,28783.03,23345.12,142094.43,146843.62,288938.05,52128.15
20260206,28854.16,23422.58,134413.69,153303.23,287716.92,52276.74
20260209,28837.71,23420.16,125768.07,147237.37,273005.44,52257.87
20260210,28848.74,23409.97,121763.16,136800.11,258563.27,52258.72
20260211,28876.99,23429.89,118164.09,134562.01,252726.1,52306.88
20260212,28923.55,23429.0,134726.72,154931.84,289658.56,52352.55
20260213,29038.31,23516.43,124453.61,145187.76,269641.37,52554.74
20260224,29047.92,23538.13,145274.94,171886.36,317161.3,52586.05
20260225,28992.97,23552.51,151317.07,168220.32,319537.39,52545.48
20260226,28969.86,23501.96,145059.34,171790.43,316849.77,52471.83
20260227,29047.03,23574.77,161691.04,179851.79,341542.83,52621.8
20260302,29128.11,23655.83,174618.01,203888.25,378506.26,52783.94
20260303,29155.66,23689.09,195527.93,218622.52,414150.45,52844.75
20260304,29144.75,23695.34,156625.09,173156.92,329782.01,52840.09
20260305,28982.37,23580.37,147565.78,168781.64,316347.42,52562.74
20260306,28967.73,23573.13,131754.09,150892.65,282646.74,52540.86
20260309,29228.37,23684.62,164848.23,196348.34,361196.57,52912.99
20260310,29115.15,23618.32,131793.97,164687.59,296481.56,52733.46
20260311,29130.96,23636.98,134253.92,169467.43,303721.35,52767.95
20260312,29192.47,23688.31,136610.39,159567.12,296177.51,52880.77
20260313,29310.59,23754.66,138275.19,156969.53,295244.72,53065.26
20260316,29283.25,23769.51,140993.68,161811.24,302804.92,53052.76
20260317,29224.24,23713.71,127559.39,157105.55,284664.94,52937.95
20260318,29228.23,23721.89,120268.08,143389.01,263657.09,52950.12
20260319,29398.37,23813.65,130186.14,144445.89,274632.03,53212.02
20260320,29249.39,23752.58,152840.82,186247.24,339088.06,53001.97
20260323,29398.5,23900.75,160756.13,191584.49,352340.62,53299.25
20260324,29227.25,23798.39,134282.99,155002.94,289285.93,53025.64
20260325,29369.57,23879.29,127308.35,146139.86,273448.21,53248.87
20260326,29406.66,23875.61,116361.25,133190.15,249551.4,53282.26
20260327,29404.84,23848.59,112683.68,131884.62,244568.3,53253.43
20260330,29421.52,23807.25,115378.72,130887.49,246266.21,53228.76
20260331,29446.74,23789.06,115552.77,124501.12,240053.89,53235.8
20260401,29378.89,23729.97,109792.41,119388.68,229181.09,53108.86
20260402,29489.73,23817.41,96511.2,107651.35,204162.55,53307.14
20260408,29353.9,23737.5,136840.96,156433.79,293274.75,53091.4
20260409,29435.71,23781.61,112160.16,147158.1,259318.26,53217.33
20260410,29419.94,23769.23,121667.9,159105.85,280773.75,53189.17
